Kurum;İlk Gün (Ad.);Son Gün (Ad.);Takas Oran (%)
ACAR MENKUL DEGERLER;1198888;1198888;0.01
A1 Captial;48169066;48169066;0.22
Anadolu;16789920;16789920;0.08
AKBANK T.A.S.;174979;174979;0.0
AK Yat.;6784768524;6784768524;30.72
ALFA MENKUL;22866;22866;0.0
ALB Yat.;4798063;4798063;0.02
ALAN MENKUL;205;205;0.0
Allbatross;1693316;1693316;0.01
ALTERNATIF MENKUL;2654107;2654107;0.01
Alnus Yat.;8129824;8129824;0.04
Ata Yat.;24948775;24948775;0.11
Ahlatcı;9509073;9509073;0.04
B.A.B. MENKUL;93712;93712;0.0
Bulls;12296391;12296391;0.06
BLUPAY MENKUL;151387;151387;0.0
BIZIM MENKUL;94992790;94992790;0.43
BASKENT MENKUL;11;11;0.0
CitiBank;1241464489;1241464489;5.62
Colendi;305159;305159;0.0
Deutsche;296472484;296472484;1.34
Dinamik Yat.;834106;834106;0.0
Deniz;286077877;286077877;1.3
Burgan;45364006;45364006;0.21
ELIPTIK YATIRIM;2170191;2170191;0.01
Emeklilik Fonları;36787242;36787242;0.17
QNB;247932735;247932735;1.12
GCM;1135563;1135563;0.01
Gedik;101108233;101108233;0.46
Global;21279332;21279332;0.1
ING;28995606;28995606;0.13
Garanti;1385144543;1385144543;6.27
Halk Yat.;1618057107;1618057107;7.33
HCBC;31753181;31753181;0.14
InvestAZ;2792907;2792907;0.01
ICBC TURKEY BANK;1600;1600;0.0
ICBC;25848559;25848559;0.12
IKON MENKUL DEGERLER;82797;82797;0.0
Integral;8691801;8691801;0.04
Info;106472498;106472498;0.48
İş Yat.;1822945730;1822945730;8.25
KARE YAT.;54638;54638;0.0
Kuveyt Türk;128330759;128330759;0.58
Midas;37423956;37423956;0.17
Bank of America;13174875;13174875;0.06
Marbas;16084582;16084582;0.07
MERKEZ MENKUL;4;4;0.0
Meksa;15115889;15115889;0.07
METRO MENKUL;78682;78682;0.0
NCM;1860817;1860817;0.01
Osmanlı;116278584;116278584;0.53
Oyak;225622218;225622218;1.02
Phillip;46033822;46033822;0.21
Piramit;1549339;1549339;0.01
PAPARA MENKUL;588385;588385;0.0
RAYMOND JAMES;410231;410231;0.0
Şeker;24764091;24764091;0.11
STRATEJI MEN.;304709;304709;0.0
SAYILGAN MEN.;114;114;0.0
Tacirler;44209308;44209308;0.2
TEB;113511952;113511952;0.51
TFG ISTANBUL;5476;5476;0.0
GARANTI BANKASI A.S.;88714;88714;0.0
IS BANKASI A.S.;7679962;7679962;0.03
TURKISH YAT.;19087492;19087492;0.09
TOROS MEN.;38;38;0.0
Tera;6704233;6704233;0.03
SINAI KALKINMA BANKASI A.S.;1143;1143;0.0
Trive;24343136;24343136;0.11
UNICREDIT MENKUL;4573;4573;0.0
Ünlü;18806808;18806808;0.09
Vakıf;1896546728;1896546728;8.59
VERIM MENKUL DEGERLER;565;565;0.0
Yat. Finans;126842815;126842815;0.57
Yatırım Fonları;189477950;189477950;0.86
YATIRIM ORTAKLIKLARI;288600;288600;0.0
YAPI VE KREDI BANKASI A.S.;80082;80082;0.0
Yapı Kredi;680690808;680690808;3.08
YATIRIMCI TAZMIN MERKEZI;456152;456152;0.0
Ziraat;3819134435;3819134435;17.29
TOPLAM FARK;41666550;41666550;0.19
